136,1,"Melt butter in pot, medium heat. Add extra-virgin olive oil.",f
136,2,Cook onions until soft. ~15 mins.,f
136,3,"Add salt, pepper, and sugar. Cook until caramelized. ~40 mins.",f
136,4,Add 3/4 cup beef broth. Cook on medium heat until liquid evaporates. ~10 mins.,f
136,5,"Add thyme, bay leaves, and remainder broth. Bring to boil then simmer until thicken. ~30-60 min.",f
136,6,"Serve with toasted baguette topped with Swiss-like cheese (Gruyere, etc...)",f
133,1,"Adjust oven rack to middle position and heat oven to 325 degrees. Line 2 baking sheets with parchment paper. Whisk flour, cocoa, baking powder, baking soda, and salt together in bowl.",f
133,2,"Whisk brown sugar; eggs; espresso powder, if using; and vanilla together in large bowl. Combine chocolate and butter in bowl and microwave at 50 percent power, stirring occasionally, until melted, 2 to 3 minutes.",f
133,3,Whisk chocolate mixture into egg mixture until combined. Fold in flour mixture until no dry streaks remain. Let dough sit at room temperature for 10 minutes.,f
133,4,"Place granulated sugar and confectioners’ sugar in separate shallow dishes. Working with 2 tablespoons dough (or use #30 scoop) at a time, roll into balls. Drop dough balls directly into granulated sugar and roll to coat. Transfer dough balls to confectioners’ sugar and roll to coat evenly. Evenly space dough balls on prepared sheets, 11 per sheet.",f
133,5,"Bake cookies, 1 sheet at a time, until puffed and cracked and edges have begun to set but centers are still soft (cookies will look raw between cracks and seem underdone), about 12 minutes, rotating sheet halfway through baking. Let cool completely on sheet before serving.",f
59,1,"Heat a large skillet over high heat. Add oil to pan; swirl to coat. Add chicken; cook 4 minutes, stirring occasionally. Place chicken in an electric slow cooker.",f
59,2,"Add onion, bell pepper, celery, and garlic to pan; sauté 4 minutes or until tender. Add onion mixture, turkey kielbasa, and next 5 ingredients (through chicken broth) to slow cooker. Cover and cook on LOW for 5 hours.",f
59,3,"Cook rice according to package directions. Add cooked rice and remaining ingredients except parsley garnish to slow cooker. Cover and cook on HIGH 15 minutes or until shrimp are done. Garnish with parsley leaves, if desired.",f
88,1,"In 4-quart saucepan, heat oil on medium until hot.",f
88,2,"Add carrots and onion, and cook 6 to 8 minutes or until lightly browned and tender.",f
88,3,Stir in cumin; cook 1 minute.,f
88,4,"Add tomatoes, broth, lentils, 2 cups water, salt, and pepper; cover and heat to boiling on high.",f
88,5,"Reduce heat to low and simmer, covered, 8 to 10 minutes or until lentils are tender.",f
